step    200 | loss=0.15684 w0=0.082 dev=0.365 | EVAL loss=0.09204 w0=0.010 dev=0.441 | 0.65s/step | epoch 0 | 15:21:06
step    210 | loss=0.15595 w0=0.079 dev=0.368 | EVAL loss=0.09203 w0=0.009 dev=0.446 | 0.64s/step | epoch 0 | 15:21:12
step    220 | loss=0.15587 w0=0.076 dev=0.371 | EVAL loss=0.09192 w0=0.008 dev=0.446 | 0.65s/step | epoch 0 | 15:21:19
step    230 | loss=0.15604 w0=0.073 dev=0.374 | EVAL loss=0.09192 w0=0.009 dev=0.445 | 0.67s/step | epoch 0 | 15:21:26
step    240 | loss=0.15731 w0=0.071 dev=0.377 | EVAL loss=0.09188 w0=0.010 dev=0.444 | 0.66s/step | epoch 0 | 15:21:32
step    250 | loss=0.15753 w0=0.069 dev=0.379 | EVAL loss=0.09185 w0=0.009 dev=0.447 | 0.67s/step | epoch 0 | 15:21:39
step    260 | loss=0.15888 w0=0.066 dev=0.382 | EVAL loss=0.09179 w0=0.013 dev=0.445 | 0.65s/step | epoch 0 | 15:21:45
step    270 | loss=0.15806 w0=0.064 dev=0.384 | EVAL loss=0.09174 w0=0.007 dev=0.451 | 0.64s/step | epoch 0 | 15:21:52
step    280 | loss=0.15686 w0=0.062 dev=0.387 | EVAL loss=0.09175 w0=0.007 dev=0.454 | 0.64s/step | epoch 0 | 15:21:58
step    290 | loss=0.15749 w0=0.061 dev=0.389 | EVAL loss=0.09177 w0=0.008 dev=0.457 | 0.65s/step | epoch 0 | 15:22:05
step    300 | loss=0.15791 w0=0.059 dev=0.391 | EVAL loss=0.09175 w0=0.008 dev=0.454 | 0.64s/step | epoch 0 | 15:22:11
step    310 | loss=0.15750 w0=0.058 dev=0.393 | EVAL loss=0.09182 w0=0.015 dev=0.450 | 0.64s/step | epoch 0 | 15:22:18
step    320 | loss=0.15746 w0=0.056 dev=0.394 | EVAL loss=0.09174 w0=0.012 dev=0.454 | 0.66s/step | epoch 0 | 15:22:24
step    330 | loss=0.15768 w0=0.055 dev=0.396 | EVAL loss=0.09166 w0=0.007 dev=0.463 | 0.65s/step | epoch 0 | 15:22:31
step    340 | loss=0.15906 w0=0.054 dev=0.398 | EVAL loss=0.09166 w0=0.007 dev=0.463 | 0.65s/step | epoch 0 | 15:22:37
step    350 | loss=0.16010 w0=0.052 dev=0.400 | EVAL loss=0.09164 w0=0.007 dev=0.462 | 0.65s/step | epoch 0 | 15:22:44
step    360 | loss=0.16049 w0=0.051 dev=0.401 | EVAL loss=0.09169 w0=0.007 dev=0.466 | 0.64s/step | epoch 0 | 15:22:50
step    370 | loss=0.16077 w0=0.050 dev=0.403 | EVAL loss=0.09171 w0=0.008 dev=0.464 | 0.65s/step | epoch 0 | 15:22:56
step    380 | loss=0.16108 w0=0.049 dev=0.404 | EVAL loss=0.09166 w0=0.007 dev=0.464 | 0.64s/step | epoch 0 | 15:23:03
step    390 | loss=0.16108 w0=0.048 dev=0.406 | EVAL loss=0.09160 w0=0.007 dev=0.465 | 0.65s/step | epoch 0 | 15:23:09
step    400 | loss=0.16064 w0=0.047 dev=0.407 | EVAL loss=0.09161 w0=0.009 dev=0.460 | 0.65s/step | epoch 0 | 15:23:16
step    410 | loss=0.15996 w0=0.046 dev=0.408 | EVAL loss=0.09155 w0=0.007 dev=0.464 | 0.64s/step | epoch 0 | 15:23:22
step    420 | loss=0.16111 w0=0.045 dev=0.410 | EVAL loss=0.09165 w0=0.006 dev=0.466 | 0.64s/step | epoch 0 | 15:23:29
step    430 | loss=0.16155 w0=0.045 dev=0.411 | EVAL loss=0.09172 w0=0.007 dev=0.467 | 0.64s/step | epoch 0 | 15:23:35
step    440 | loss=0.16118 w0=0.044 dev=0.412 | EVAL loss=0.09175 w0=0.007 dev=0.468 | 0.64s/step | epoch 0 | 15:23:42
step    450 | loss=0.16181 w0=0.043 dev=0.413 | EVAL loss=0.09173 w0=0.011 dev=0.460 | 0.64s/step | epoch 0 | 15:23:48
step    460 | loss=0.16159 w0=0.042 dev=0.414 | EVAL loss=0.09164 w0=0.008 dev=0.464 | 0.64s/step | epoch 0 | 15:23:55
step    470 | loss=0.16219 w0=0.042 dev=0.415 | EVAL loss=0.09151 w0=0.006 dev=0.464 | 0.64s/step | epoch 0 | 15:24:01
step    480 | loss=0.16175 w0=0.041 dev=0.416 | EVAL loss=0.09154 w0=0.006 dev=0.465 | 0.64s/step | epoch 0 | 15:24:07
step    490 | loss=0.16275 w0=0.040 dev=0.417 | EVAL loss=0.09160 w0=0.010 dev=0.461 | 0.64s/step | epoch 0 | 15:24:14
step    500 | loss=0.16248 w0=0.040 dev=0.418 | EVAL loss=0.09163 w0=0.006 dev=0.466 | 0.64s/step | epoch 0 | 15:24:20
  checkpoint saved at step 500 -> /root/autodl-tmp/afa-assets/output/paper_run_group1_10k
step    510 | loss=0.16223 w0=0.039 dev=0.419 | EVAL loss=0.09164 w0=0.007 dev=0.468 | 0.67s/step | epoch 0 | 15:24:27
step    520 | loss=0.16187 w0=0.039 dev=0.420 | EVAL loss=0.09168 w0=0.006 dev=0.467 | 0.64s/step | epoch 0 | 15:24:33
step    530 | loss=0.16218 w0=0.038 dev=0.421 | EVAL loss=0.09164 w0=0.006 dev=0.471 | 0.64s/step | epoch 0 | 15:24:40
step    540 | loss=0.16151 w0=0.038 dev=0.421 | EVAL loss=0.09163 w0=0.006 dev=0.470 | 0.64s/step | epoch 0 | 15:24:46
step    550 | loss=0.16167 w0=0.037 dev=0.422 | EVAL loss=0.09160 w0=0.005 dev=0.468 | 0.64s/step | epoch 0 | 15:24:53
step    560 | loss=0.16082 w0=0.037 dev=0.423 | EVAL loss=0.09156 w0=0.005 dev=0.473 | 0.64s/step | epoch 0 | 15:24:59
step    570 | loss=0.16133 w0=0.036 dev=0.424 | EVAL loss=0.09153 w0=0.006 dev=0.471 | 0.64s/step | epoch 0 | 15:25:06
step    580 | loss=0.16135 w0=0.036 dev=0.424 | EVAL loss=0.09155 w0=0.006 dev=0.468 | 0.64s/step | epoch 0 | 15:25:12
step    590 | loss=0.16083 w0=0.035 dev=0.425 | EVAL loss=0.09153 w0=0.008 dev=0.467 | 0.66s/step | epoch 0 | 15:25:19
step    600 | loss=0.16138 w0=0.035 dev=0.426 | EVAL loss=0.09149 w0=0.004 dev=0.474 | 0.64s/step | epoch 0 | 15:25:25
step    610 | loss=0.16167 w0=0.034 dev=0.427 | EVAL loss=0.09152 w0=0.004 dev=0.472 | 0.64s/step | epoch 0 | 15:25:31
step    620 | loss=0.16139 w0=0.034 dev=0.427 | EVAL loss=0.09157 w0=0.007 dev=0.470 | 0.64s/step | epoch 0 | 15:25:38
step    630 | loss=0.16113 w0=0.034 dev=0.428 | EVAL loss=0.09153 w0=0.010 dev=0.465 | 0.64s/step | epoch 0 | 15:25:44
step    640 | loss=0.16109 w0=0.033 dev=0.428 | EVAL loss=0.09158 w0=0.008 dev=0.464 | 0.64s/step | epoch 0 | 15:25:51
step    650 | loss=0.16147 w0=0.033 dev=0.429 | EVAL loss=0.09155 w0=0.007 dev=0.469 | 0.64s/step | epoch 0 | 15:25:57
step    660 | loss=0.16132 w0=0.032 dev=0.430 | EVAL loss=0.09160 w0=0.007 dev=0.467 | 0.64s/step | epoch 0 | 15:26:04
step    670 | loss=0.16124 w0=0.032 dev=0.430 | EVAL loss=0.09160 w0=0.012 dev=0.461 | 0.65s/step | epoch 0 | 15:26:10
step    680 | loss=0.16189 w0=0.032 dev=0.430 | EVAL loss=0.09159 w0=0.005 dev=0.470 | 0.64s/step | epoch 0 | 15:26:17
step    690 | loss=0.16195 w0=0.032 dev=0.431 | EVAL loss=0.09158 w0=0.005 dev=0.471 | 0.64s/step | epoch 0 | 15:26:23
step    700 | loss=0.16165 w0=0.031 dev=0.432 | EVAL loss=0.09157 w0=0.006 dev=0.470 | 0.64s/step | epoch 0 | 15:26:30
step    710 | loss=0.16194 w0=0.031 dev=0.432 | EVAL loss=0.09154 w0=0.006 dev=0.468 | 0.64s/step | epoch 0 | 15:26:36
step    720 | loss=0.16173 w0=0.031 dev=0.432 | EVAL loss=0.09152 w0=0.007 dev=0.468 | 0.64s/step | epoch 0 | 15:26:42
step    730 | loss=0.16179 w0=0.030 dev=0.433 | EVAL loss=0.09153 w0=0.012 dev=0.463 | 0.64s/step | epoch 0 | 15:26:49
step    740 | loss=0.16154 w0=0.030 dev=0.433 | EVAL loss=0.09158 w0=0.009 dev=0.464 | 0.64s/step | epoch 0 | 15:26:55
step    750 | loss=0.16143 w0=0.030 dev=0.434 | EVAL loss=0.09155 w0=0.013 dev=0.466 | 0.64s/step | epoch 0 | 15:27:02
step    760 | loss=0.16123 w0=0.030 dev=0.434 | EVAL loss=0.09158 w0=0.006 dev=0.470 | 0.64s/step | epoch 0 | 15:27:08
step    770 | loss=0.16069 w0=0.029 dev=0.435 | EVAL loss=0.09155 w0=0.009 dev=0.466 | 0.64s/step | epoch 0 | 15:27:15
step    780 | loss=0.16099 w0=0.029 dev=0.435 | EVAL loss=0.09157 w0=0.016 dev=0.460 | 0.64s/step | epoch 0 | 15:27:21
step    790 | loss=0.16110 w0=0.029 dev=0.435 | EVAL loss=0.09167 w0=0.006 dev=0.469 | 0.64s/step | epoch 0 | 15:27:27
step    800 | loss=0.16125 w0=0.029 dev=0.436 | EVAL loss=0.09170 w0=0.005 dev=0.473 | 0.64s/step | epoch 0 | 15:27:34
step    810 | loss=0.16118 w0=0.028 dev=0.436 | EVAL loss=0.09162 w0=0.007 dev=0.470 | 0.65s/step | epoch 0 | 15:27:40
step    820 | loss=0.16134 w0=0.028 dev=0.437 | EVAL loss=0.09153 w0=0.009 dev=0.468 | 0.64s/step | epoch 0 | 15:27:47
step    830 | loss=0.16110 w0=0.028 dev=0.437 | EVAL loss=0.09150 w0=0.005 dev=0.474 | 0.64s/step | epoch 0 | 15:27:53
step    840 | loss=0.16120 w0=0.028 dev=0.437 | EVAL loss=0.09148 w0=0.005 dev=0.473 | 0.65s/step | epoch 0 | 15:28:00
step    850 | loss=0.16120 w0=0.028 dev=0.438 | EVAL loss=0.09158 w0=0.008 dev=0.471 | 0.65s/step | epoch 0 | 15:28:06
step    860 | loss=0.16111 w0=0.027 dev=0.438 | EVAL loss=0.09159 w0=0.009 dev=0.469 | 0.65s/step | epoch 0 | 15:28:13
step    870 | loss=0.16126 w0=0.027 dev=0.438 | EVAL loss=0.09160 w0=0.012 dev=0.468 | 0.64s/step | epoch 0 | 15:28:19
step    880 | loss=0.16116 w0=0.027 dev=0.439 | EVAL loss=0.09164 w0=0.005 dev=0.473 | 0.65s/step | epoch 0 | 15:28:26
step    890 | loss=0.16071 w0=0.027 dev=0.439 | EVAL loss=0.09157 w0=0.004 dev=0.474 | 0.65s/step | epoch 0 | 15:28:32
step    900 | loss=0.16048 w0=0.027 dev=0.439 | EVAL loss=0.09154 w0=0.004 dev=0.475 | 0.64s/step | epoch 0 | 15:28:38
